TITLES,INT. DARK ROOM - NIGHT TIME
DUMBLEDORE,"Not to worry Madame Maxime, our gamekeeper Hagrid's more than capable of seeing to them."
MADAME MAXIME,"But you know Monsieur Hagrid, they drink only single malt whiskey."
MAN,You idiot!
INT. ASSEMBLY ROOM,"DUMBLEDORE Your attention please! I would like to say a few words. Eternal glory, that is what awaits the student who wins the tri-wizard tournament. But to do this that student must survive three tasks. Three extremely dangerous tasks."
FRED,Wicked.
DUMBLEDORE,For this reason the ministry has seen fit to impose a new rule. To explain all this we have the head of the department of international magic cooperation Mister Bartimus Crouch.
RON,"Bloody hell, it's Mad-Eye Moody."
HERMIONE,Alastor Moody? The aura.
RON,He was a catcher. Half the cells in Azkaban are full thanks to him. He's supposed to be mad as a hatter though these days.
DUMBLEDORE,"My dear old friend, thanks for coming."
MAD-EYE,That stupid roof.
PUPIL,What's that he's drinking do you suppose?
HARRY,I don't know but I don't think it's Pumpkin Juice.
BARTY,After much deliberation the ministry has concluded that for their own safety no student under the age of seventeen shall be allowed to put forth their name for the tri-wizard tournament. This decision is final.
GEORGE,That's rubbish! You don't know what you're doing!
DUMBLEDORE,Silence!
DUMBLEDORE,"The goblet of fire. Anyone wishing to submit themselves for the tournament merely write their name upon a piece of parchment and throw it in the flame before this hour on Thursday night. Do not do so lightly, if choosen there's no turning back. As from this moment the tri-wizard tournament has begun."
INT. ASSEMBLY ROOM - NIGHT,We see a suspicious character enter the room where the goblet is still burning and close the door behind him.
INT. CLASSROOM,MAD-EYE Alastor Moody.
MAD-EYE,"Ministry malcontent. And your new defence against the dark arts teacher. I'm here because Dumbledore asked me, end of story, goodbye, the end. Any questions? When it comes to the dark arts, I believe in a practical approach. But first, which of you can tell me how many unforgivable curses there are?"
HERMIONE,Three sir.
MAD-EYE,And they are so named?
HERMIONE,Because they are unforgivable. Use of any one of them will...
MAD-EYE,"Will earn you a one way ticket to Azkaban. Correct. Now the ministry says you're too young to see what these curses do. I say different! You need to know what you're up against, you need to be prepared, you need to find somewhere else to put your chewing gum other than the underside of your desk Mr Finnigan!"
PUPIL,"Aw no way, the old codger can see out the back of his head."
MAD-EYE,"So, which curse shall we see first? WEASLEY!"
RON,Yes...
MAD-EYE,Give us a curse.
RON,"Well, my dad did tell me about one... The imperious curse."
MAD-EYE,"Ahhh yes, your father would know all about that. Gave the ministry quite a bit of grief a few years ago. Perhaps this will show you why."
MAD-EYE,Hello. What a little beauty.
MAD-EYE,Don't worry. Completely harmless.
MAD-EYE,But if she bites... she's lethal!
MAD-EYE,What are you laughing at?
MAD-EYE,Talented isn't she? What shall I have her do next? Jump out the window? Drown herself?
MAD-EYE,"Scores of witches and wizards have claimed that they only do did you-know-whose bidding under the influence of the imperious curse. But here's the rub, how do we sort out the liars? Another.. another.. Come on come on. Longbottom is it? Up."
MAD-EYE,Professor Sprout tells me you have an aptitude for herbology.
NEVILLE,There's the um... The cruciatus curse.
MAD-EYE,Correct! Correct! come come. Particularly nasty. The torture curse.
HERMIONE,"Stop it! Can't you see it's bothering him, stop it!"
MAD-EYE,Perhaps you could give us the last unforgivable curse Miss Granger.
MAD-EYE,The killing curse. Only one person is known to have survived it. And he's sitting in this room.
INT. STAIRS,"RON Brilliant isn't he! Completely demented of course. Terrifying to be in the same room with, he's really BEEN there you know."
HERMIONE,"There's a reason those curses are unforgivable, and to perform them in a classroom. I mean did you see Neville's face."
HERMIONE,Neville?
MAD-EYE,Son. You alright?
MAD-EYE,"Come on, we'll have a cup of tea. I want to show you something."
INT. GOBLET ROOM,"Older students are placing their names into the flame and others are applauding, Cedric is one of them."
RON,"Eternal glory, be brilliant wouldn't it? In three years from now we'll be old enough to be choosen."
HARRY,Yeah well rather you than me.
GEORGE,"Thank you thank you, well lads we've done it."
FRED,Cooked it up just this morning.
HERMIONE,It's not going to work.
FRED,Oh yeah? And why's that Granger.
HERMIONE,You see this? This is an age line. Dumbledore drew it himself.
FRED,So?
HERMIONE,So a genius like Dumbledore couldn't possibly be fooled by something pathetically dimwitted such as an age potion.
GEORGE,That's why it's so brilliant.
GEORGE,Ready Fred?
FRED,Ready George?
GEORGE,You said..
INT. GOBLET ROOM - THURSDAY NIGHT,"DUMBLEDORE Sit down please. And now the moment you've all been waiting for, the champions selection!"
DUMBLEDORE,The Durmstrang champion is ... Viktor Krum!
DUMBLEDORE,The champion from Beauxbatons... Fleur Delacour
DUMBLEDORE,The Hogwarts champion... Cedric Diggory.
DUMBLEDORE,"Excellent! we now have our three champions! But in the end only one will go down in history. Only one will hoist this chalice of champions, this vessel of victory the tri-wizard cup!"
DUMBLEDORE,Harry Potter. Harry Potter?
HAGRID,No... No.
DUMBLEDORE,Harry Potter!
HERMIONE,Go on Harry. Harry for goodness sake.
VOICE,He's a cheat! He's not even seventeen yet.
INT. ROOM,Harry is in a room with the other champions. Dumbledore bursts in and grabs Harry.
DUMBLEDORE,Harry! Did you put your name in the goblet of fire?
HARRY,No sir.
DUMBLEDORE,Did you ask one of the older students to do it for you?
HARRY,No sir.
DUMBLEDORE,You're absolutely sure?
HARRY,Yes sir.
MADAME MAXIME,Well of course he is lying.
MAD-EYE,"The hell he is. The goblet of fire is an exceptionally powerful magical object, only an exceptionally powerful conjurer could have hoodwinked it. Magic way beyond the talents of a fourth year."
IGOR,You seem to have given this a fair bit of thought Mad-Eye.
MAD-EYE,It was once my job to think as dark wizards do Karkaroff perhaps you remember?
DUMBLEDORE,That doesn't help Alastor. Leave this to you Barty.
BARTY,"The rules are absolute, the goblet of fire constitutes a binding magical contract. Mr Potter has no choice, he is as of tonight... a tri-wizards champion."
INT. DARKENED TOWER ROOM,"MCGONAGALL This can't go on Albus. First the dark mark, now this?"
DUMBLEDORE,What do you suggest Minerva?
MCGONAGALL,Put an end to it. Don't let Potter compete.
DUMBLEDORE,You heard Barty the rules are clear.
MCGONAGALL,Well the devil with Barty and his rules. And since when did you accomodate them...
SNAPE,"Master I too find it difficult to believe this mere coincidence, if we are to truly discover the meaning of these events perhaps we should for the time being let them unfold."
MCGONAGALL,Do nothing?? Offer him up as bait? Potter is a boy not a piece of meat.
DUMBLEDORE,"I agree with Severus. Alastor, keep an eye on Harry will you?"
MAD-EYE,I can do that.
DUMBLEDORE,"Don't let him know though, he must be anxious enough as it is... knowing what lies ahead. Then again, we all are."
INT. BEDROOM,RON How did you do it?
RON,Never mind. Doesn't matter. You could have let your best friend know though.
HARRY,Let you know what?
RON,You know bloody well what.
HARRY,I didn't ask for this to happen Ron. Okay? You're being stupid.
RON,"Yeah that's me, Ron Weasley... Harry Potter's stupid friend."
HARRY,"I didn't put my name in that cup. I don't WANT eternal glory I just wanna be.. Look, I don't know what happened tonight and I don't know why, it just did ok."
RON,Piss off.
INT. HOGWARTS,A woman appears in a puff of smoke. She's well groomed and dressed colorfully.
RITA,What a charismatic quartet. Hello!
RITA,"I'm Rita Skeeter, I write for the daily prophet. But of course you know that don't you. It's you we don't know, you're the news. What quirks lurk beneath those rosy cheeks? what mysteries do the muscles mask? does courage lie beneath those curls? In short, what makes a champion tick. Me, myself and I want to know. Not to mention my rabid readers. So, who's feeling up to sharing? Mmm? Shall we start with the youngest. Lovely."
RITA,This is cosy.
HARRY,It's a broomcupboard.
RITA,You should feel right at home then. Don't mind if I use the quill do you?
HARRY,"Oh, no."
RITA,"So Harry, here you sit, a mere boy of twelve.."
HARRY,I'm fourteen.
RITA,...about to compete against three students. Not only vastly more emotionally mature than yourself but have mastered spells that you wouldn't attempt in your dizziest daydreams. Concerned?
HARRY,I dunno I haven't really thought about it.
RITA,Course you're not just any ordinary boy of twelve are you...
HARRY,Fourteen.
RITA,The story's legend. Do you think it was the trauma of your past that made you so keen to enter such a dangerous tournament.
HARRY,No I didn't enter.
RITA,"Course you didn't. Everyone loves a rebel Harry. (to the quill) Scratch that last. Speaking of your parents, were they alive, how do you think they'd feel? proud? or concerned that your attitude shows at best a pathological need for attention, at worst a psychotic deathwish."
HARRY,"(looking at the notepad) Hey, my eyes aren't glistening with the ghosts of my past."
INT. ROOFTOP,"An owl flies in with a letter for Harry, he takes it and begins to read."
SIR,(VOICEOVER) Harry. I couldn't risk sending Edward. It was since the world cup and the ministry's been intercepting more and more owls and she's too easily recognised. We need to talk Harry. Face to face. Meet me in the Griffindore common room at one o clock this Saturday night and make sure you're alone. P.S....
HARRY,AGH!
SIR,(VOICEOVER CONT'D) The bird bites.
INT. GRIFFINDORE COMMON ROOM,HARRY Sirius?
RITA,"(VOICEOVER) Harry Potter aged 12, suspect entrant in the tri-wizard tournament. His eyes swimming with the ghosts of his..."
HARRY,Sirius?! How...
SIR,I don't have much time Harry so let me get straight to it. Did you or did you not put your name into the goblet of fire?
HARRY,No!
SIR,"Shh... I had to ask. Now, tell me about this dream of yours. You mentioned Wormtail and Voldemort, but who was the third man in the room?"
HARRY,I dunno.
SIR,You didn't hear a name?
HARRY,No. Umm.. Voldemort was giving him a job to do. Something important.
SIR,What was that?
HARRY,"He wanted... me. I dunno why, but he was gonna use this man to get to me. I mean it was only a dream right?"
SIR,"Yes. It's just a dream. Look Harry, the deatheaters at the world cup, your name rising from that goblet these are not just coincidences. Hogwarts isn't safe any more."
HARRY,What are you saying?
SIR,"I'm saying the devils are inside the walls. Igor Karkaroff, he was a deatheater. And no one, no one stops being a deatheater. Then there's Barty Crouch, heart of stone, sent his OWN son to Azkaban."
HARRY,Do you think one of them put my name in the goblet?
SIR,I haven't a clue who put your name in that goblet Harry but whoever did it is no friend to you. People die in this tournament.
HARRY,I'm not ready for this Sirius.
SIR,You don't have a choice.
HARRY,Someone's coming!
SIR,Keep your friends close Harry.
RON,Who you talking to?
HARRY,Who says I was talking to anyone.
RON,I heard voices.
HARRY,"Maybe you're imagining things, wouldn't be the first time."
RON,You're probably just practicing for your next interview I expect.
EXT. LAKESIDE,NEVILLE Amazing. Amazing.
HARRY,Neville! You're doing it again!
NEVILLE,"Oh, right sorry."
HARRY,(reading a book) Magical water plants of the highland Lochs?
NEVILLE,Moody gave it to me. That day we had tea.
HERMIONE,(Whispering to Ron) We've already been through enough people why don't you just go and do it yourself? Ughh. What do you want me to say again?
HERMIONE,Ronald would like me to tell you that Seamus told him that Dean was told by Parvati that Hagrid was looking for you.
HARRY,Is that right? Well.... what?
HERMIONE,Uhhh...
HERMIONE,Dean was told by Parvati that... Please don't ask me say it again. Hagrid's looking for you.
HARRY,Well you can tell Ronald...
HERMIONE,I'm NOT an owl!
INT. FOREST,Harry and Hagrid are walking through a dark forest.
HAGRID,Did you bring your father's cloak like I asked you?
HARRY,Yeah I brought the cloak. Hagrid where are we going?
HAGRID,You'll see soon enough. Pay attention this is important.
HARRY,What's with the flower? Hagrid have you combed your hair?
HAGRID,As a matter of fact I have. You might like to try the same thing now and again.
MADAME MAXIME,Hagrid?
HAGRID,"Oh, the cloak. Put the cloak on."
HAGRID,Bonsoir Olympe.
MADAME MAXIME,"Oh Hagrid. I thought you weren't coming, I thought perhaps... you had... forgotten me."
HAGRID,Couldn't forget you Olympe.
MADAME MAXIME,What is it you want to show me? When we spoke earlier you sounded so exhilirated.
HAGRID,You'll be glad you came. Trust me.
MADAME MAXIME,"Ahh, c'est magnifique!"
MADAME MAXIME,Can we get closer?
HARRY,Dragons? That's the first task? You're joking.
HAGRID,Come on Harry. They're seriously misunderstood creatures.
HAGRID,"Although, I have to admit that horntail is a right nasty piece of work. Poor Ron nearly fainted just seeing him you know."
HARRY,Ron was here?
HAGRID,Oh sure. His brother Charlie helped bring him over from Romania. Didn't Ron tell you that?
HARRY,No he didn't. He didn't tell me a thing.
EXT. HOGWARTS - DAYTIME,"We're zoomed in on a badge, it depicts Cedric on a bright yellow background. Then the badge spins and shows Harry on a green background with the words ""Potter Stinks"" on it. As Harry walks along other pupils aim insults at him saying he stinks. A young boy runs past."
BOY,Cedric rules!
HARRY,Thanks.
BOY,Like the badge?
HARRY,Excuse me..
HARRY,(to Cedric) Can I have a word?
CEDRIC,Alright.
HARRY,Dragons. That's the first task. They've got one for each of us.
CEDRIC,"Are you serious? And Fleur and Krum, do they...?"
HARRY,Yes.
CEDRIC,"Right. Hey listen, about the badges. I've asked them not to wear them."
HARRY,Don't worry about it.
HARRY,(To Ron) You're a right foul git you know that?
RON,You think so?
HARRY,I know so.
RON,Anything else?
HARRY,Yeah. Stay away from me.
RON,Fine.
DRACO,Why so tense Potter? My father and I have a bet you see. I don't think you're gonna last ten minutes in this tournament. He disagrees. He thinks you won't last FIVE.
HARRY,"I don't give a damn what you or your father thinks Malfoy. He's vile and cruel, and you're just pathetic."
MAD-EYE,I'll teach you to cast when someone's back is turned.
MCGONAGALL,Professor Moody what are you doing?
MAD-EYE,Teaching.
MCGONAGALL,Is that a student?
MAD-EYE,Technically it's a ferret.
DRACO,My father will hear about this!
MAD-EYE,Is that a threat!
MAD-EYE,I could tell you stories about your father that would curl even your greasy hair boy! It doesn't end here!
MCGONAGALL,"We never use transfigration as a punishment, surely Dumbledore told you that."
MAD-EYE,He might've mentioned it.
MCGONAGALL,Well you will do well to remember it.
MAD-EYE,(To Harry) come with me.
INT. MAD-EYE'S ROOM,Mad-Eye takes off his prosthetic leg and takes a seat.
MAD-EYE,That's a foal glass. Lets me keep an eye on my enemies. If I can see the whites of their eyes they're standing right behind me.
MAD-EYE,Wouldn't even bother telling you what's in ther. You wouldn't believe it if I did. Now... what are you going to do about your dragon?
HARRY,Oh... um... You know I just thought I'd...
MAD-EYE,"Sit. Listen to me Potter. Your pal Diggory, by your age he could take a whistle into a watch and have it sing you the time. Miss Delacour, she's as much a fairy princess as I am. As for Krum, his head may be filled with sawdust but Karkaroff's is NOT. They'll have a strategy, and you can bet that it'll play to Krum's strengths. Hmm? Come on Potter. What are your strengths?"
HARRY,Um... I dunno.. I can fly. I mean I'm a fair flyer.
MAD-EYE,Better than fair the way I heard it.
HARRY,But I'm not allowed a broom.
MAD-EYE,You're allowed a wand.
EXT. ARENA - TOURNAMENT STAGE 1,"The crowds are cheering, people are taking bets."
INT. WAITING TENT,Harry is pacing nervously. Hermione is standing by the tent door whispering in.
HERMIONE,Pssst! Harry? Is that you?
HARRY,Yeah.
HERMIONE,How are you feeling? OK? The key is to concentrate. After that you just have to...
HARRY,Battle a dragon.
RITA,Young love! Ohh how.. stirring. If everything goes unfortunately today you might make the front page.
VIKTOR,(To Rita) You have no business here. This tent is for champions and friends.
RITA,No matter. We've got what we wanted.
DUMBLEDORE,"Good day champions. Gather round please. Now you've waited, you've wondered and at last the moment has arrived. The moment only four of you can fully appreciate."
DUMBLEDORE,What are you doing here Miss Granger?
HERMIONE,Oh um.. Sorry I'll just go.
DUMBLEDORE,Barty. The bag.
BARTY,"Champions, in a circle around me. Miss Delacour over here, Mr Krum, and Potter over here. Right. Miss Delacour, if you will..."
BARTY,The welsh green. Mr Krum...
BARTY,The chinese fireball. Oooooh.
BARTY,The swedish short-snout. Which leaves...
HARRY,The horntail...
BARTY,What's that boy?
HARRY,Nothing.
BARTY,"The hungarian horntail. These represent very real dragons, each of which has been given a golden egg to protect. Your objective is simple, collect the egg. This you must do, for each egg contains a clue without which you cannot hope to proceed to the next task. Any questions?"
DUMBLEDORE,Very well. Good luck champions. Mr Diggory the sound of the cannon...
INT. TENT,Harry is sitting alone nervously.
DUMBLEDORE,(VOICEOVER THE LOUDSPEAKER) Three of our champions have now faced their dragons and so each one of them will proceed to the next task. And now our fourth and final contestant.
HERMIONE,Your wand harry! Your wand!
EXT. HOGWARTS SKY,"Harry is flying at high speed around the Hogwarts buildings. The dragon cuts him off and whips him off his broom, he lands on the roof of Hogwarts, hanging on for dear life. The dragon is clambering across the roof, strewing tiles as it goes. Harry reaches his broom but it's stuck. He jerks it loose and lets go of the roof just in time before the dragon swipes at him. He falls a long way but regains control. He flies on to an area with a bridge, he flies through a gap in the bridge but the dragon crashes into it and falls into the water."
INT. ARENA,The crowds are mostly silent. We see Harry flying towards us and the crowd erupts. He goes straight for the golden egg.
INT. HOGWARTS,"Harry is lifting the golden egg, people around him cheering. The Weasly twins have Harry sitting on their shoulders."
GEORGE,We knew you wouldn't die Harry.
FRED,Lose a leg.
GEORGE,Or an arm.
FRED,Pack it in altogether.
TWINS,NEVER!
SEAMUS,"Go on Harry, what's the clue?"
HARRY,Who wants me to open it? You want me to open it?
HARRY,What the bloody hell was that?
FRED,"Alright everyone, go back to your knitting. This is gonna be uncomfortable enough without all you nosey sods listening in."
RON,I reckon you'd have to be barking mad to put your own name in the goblet of fire.
HARRY,Caught on have you. Took you long enough.
RON,Wasn't just me who thought you'd done it. Everyone was saying it behind your back.
HARRY,Brilliant. That makes me feel loads better.
RON,At least I warned you about the dragons.
HARRY,Hagrid warned me about the dragons.
RON,"Oh no no, I did. Don't you remember? I told Hermione to tell you that Seamus told me that Parvati told Dean that Hagrid was looking for you. Seamus never actually told me anything, so it was really me all along. I thought you'd be alright, you know, after you figured that out."
HARRY,Who could possibly figure that out? That's completely mental.
RON,Yeah it is isn't it. Suppose I was a bit distraught.
HERMIONE,Boys.
INT. CLASSROOM,Harry is looking at Cho. When she looks back he spills drink from his mouth. They laugh at him.
HERMIONE,(Reading a newspaper) Look at this! I can't believe it she's done it again. Miss Granger a plain but ambitious girl seems to be developing a taste for famous wizards. Her latest prey sources report is none other than the Bulgarian bon-bon Viktor Krum. No word yet on how Harry Potter's taking this latest emotional blow.
NIGEL,Parcel for you Mr Weasley.
RON,Thank you Nigel.
RON,Not now Nigel. Later. Go on.
RON,I told him I'd get him Harry's autograph. Oh look mum's sent me something. Mum sent me a dress??
HARRY,Well it does match your eyes. Is there a bonnet?
RON,Ginny these must be for you.
GINNY,I'm not wearing that it's ghastly.
RON,What are you on about?
HERMIONE,They're not for Ginny they're for you! Dress robes.
RON,Dress robes? for what?
INT. ASSEMBLY ROOM,"MCGONAGALL The yule ball has been a tradition of the tri-wizard tournament since its inception. On Christmas eve night we and our guests gather in the great hall for well mannered frivolity. As representitives of the host school I expect each and every one of you to put your best foot forward, and I mean this literally because the yule ball is first and foremost... a dance."
MCGONAGALL,"Silence. The house of Godrick Griffindore has commanded the respect of the wizard world for nearly ten centuries. I will not have you in the course of a single evening besmirching that name by behaving like a babbling, bumbling band of baboons."
FRED,(Whispering to George) Try saying that five times faster.
MCGONAGALL,"(Continued) Now to dance is to let the body breathe, inside every girl a secret swan slumbers longing to burst forth and take flight."
RON,(Whispering to Seamus) Something's about to burst out of Hilary but I don't think it's a swan.
MCGONAGALL,"Inside every boy a lordly lion prepared to prance. Mr Weasly, will you join me."
MCGONAGALL,"Now, place your right hand on my waist."
RON,Where?
MCGONAGALL,My waist.
MCGONAGALL,Now bend your arm. Mr Filch...
MCGONAGALL,"One two three, one two three, one two three."
HARRY,(To the Weasly twins) Oi! Never gonna let him forget this are you?
TWINS,Never.
MCGONAGALL,Everybody come together.
MCGONAGALL,"Boys, on your feet."
EXT. HOGWARTS - DAYTIME,HARRY Why do they always have to travel in packs? How are you supposed to get one alone to ask them...
RON,"Blimey Harry, you slayed dragons. If you can't get a date who can?"
HARRY,I think I'd take the dragon right now.
INT. HOGWARTS,Hagrid and Madame Maxime are walking together.
HAGRID,"I take after my mum. Though I didn't know her very well, she left when I was about three. No, not the maternal sort her, broke my dad's heart though. You know he was a tiny little fellow my dad, I could pick him up with one hand by the age of six and put him up in the dresser."
HAGRID,"And then he died when I was still in school. So I had to make me own way as it were. But enough of me, what about you!"
EXT. LAKESIDE,"Viktor Krum is training, a group of girls are following him around."
INT. CLASSROOM,RON This is mad. At this rate we'll be the only ones in our year without dates.
RON,"Well, us and Neville!"
HARRY,But then again he can take himself.
HERMIONE,It might interest you to know that Neville's already got someone.
RON,Now I'm really depressed.
"ONES WILL HAVE GONE!"".","RON Well Hermione, you're a girl."
HERMIONE,Oh well spotted.
RON,Come on. It's one thing for a bloke to show up alone. For a girl it's just sad.
HERMIONE,I won't be going alone because believe it or not someone's asked me. And I said yes.
RON,Bloody hell.
RON,"Look. We've just got to grit our teeth and do it. Tonight when we get back to the common room, we'll both have partners. Agreed?"
HARRY,Agreed.
EXT. HOGWARTS - SNOWY,Harry is walking up some steps. He reaches the top and bumps into Cho who has come around the corner.
CHO,Harry!
HARRY,Cho!
CHO,"Watch yourself on the stairs, it's a bit icey at the top."
HARRY,Ok thanks. Cho?
CHO,Yes?
HARRY,Um. (Mumbling) I just wondered if maybe you wanted to go to the ball with me?
CHO,Sorry? I didn't catch that.
HARRY,Um. I was just wondering if maybe you wanted to go to the ball with me.
CHO,Oh. Um. Harry I'm sorry but someone's already asked me. And well I've said I'll go with him.
HARRY,Ok. Great. Fine. No problem. Good.
CHO,Harry I really am sorry.
INT. COMMON ROOM,"Ron is being helped into the room, he looks shaky."
HARRY,What happened to you?
GIRL,He just asked Fleur Delacour out.
HERMIONE,What?
HARRY,What did she say?
HERMIONE,No of course.
HERMIONE,She said yes??
HARRY,Don't be silly.
RON,"There she was walking by. You know I like it when they walk. I couldn't help it, it just sort of slipped out."
GIRL,"Actually he sort of screamed at her, it was a bit frightening."
HARRY,What did you do then?
RON,What else? I ran for it. I'm not cut out for this Harry. I don't know what got into me.
PATILS,Hi Harry.
HARRY,Hey!
INT. DANCEHALL,"Soft music plays and everyone is well dressed, gathered in the hall."
ELSEWHERE,Ron is getting dressed in front of a mirror. He looks paniced and uncomfortable in his ridiculous dress robes.
RON,Bloody hell.
RON,What are those??
HARRY,My dress robes.
RON,"Well they're alright. No lace, no dodgy little collar."
HARRY,Well I expect yours are more traditional.
